Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date,BP
Tamim Iqbal,32,44,40,3,0,80,1,v Australia,Cape Town,16-Sep-07,25.6
Tamim Iqbal,3,15,10,0,0,30,2,v Sri Lanka,Johannesburg,18-Sep-07,0.9
Tamim Iqbal,3,13,8,0,0,37.5,1,v Pakistan,Cape Town,20-Sep-07,1.125
Tamim Iqbal,23,28,17,4,0,135.29,2,v Pakistan,Karachi,20-Apr-08,31.11764706
Tamim Iqbal,25,36,24,4,0,104.16,2,v South Africa,Johannesburg,5-Nov-08,26.04166667
Tamim Iqbal,15,10,10,3,0,150,2,v India,Nottingham,6-Jun-09,22.5
Tamim Iqbal,22,38,28,2,0,78.57,1,v Ireland,Nottingham,8-Jun-09,17.28571429
Tamim Iqbal,7,12,6,1,0,116.66,1,v West Indies,Basseterre,2-Aug-09,8.166666667
Tamim Iqbal,14,9,9,3,0,155.55,1,v New Zealand,Hamilton,3-Feb-10,21.77777778
Tamim Iqbal,19,-,18,3,0,105.55,2,v Pakistan,Gros Islet,1-May-10,20.05555556
Tamim Iqbal,11,14,14,2,0,78.57,2,v West Indies,Dhaka,11-Oct-11,8.642857143
Tamim Iqbal,31,46,31,3,0,100,1,v Ireland,Belfast,18-Jul-12,31
Tamim Iqbal,0,13,9,0,0,0,1,v Ireland,Belfast,20-Jul-12,0
Tamim Iqbal,39,39,37,6,0,105.4,2,v Ireland,Belfast,21-Jul-12,41.10810811
Tamim Iqbal,26,18,22,2,0,118.18,2,v Scotland,The Hague,24-Jul-12,30.72727273
Tamim Iqbal,69*,69,53,5,2,130.18,2,v Netherlands,The Hague,25-Jul-12,89.83018868
Tamim Iqbal,50,70,46,2,1,108.69,1,v Netherlands,The Hague,26-Jul-12,54.34782609
Tamim Iqbal,0,3,3,0,0,0,2,v New Zealand,Pallekele,21-Sep-12,0
Tamim Iqbal,24,28,12,5,0,200,1,v Pakistan,Pallekele,25-Sep-12,48
Tamim Iqbal,88*,90,61,10,2,144.26,2,v West Indies,Dhaka,10-Dec-12,126.9508197
Tamim Iqbal,2,1,2,0,0,100,2,v Zimbabwe,Bulawayo,11-May-13,2
Tamim Iqbal,43,45,30,6,1,143.33,1,v Zimbabwe,Bulawayo,12-May-13,61.63333333
Tamim Iqbal,30,35,25,6,0,120,2,v Sri Lanka,Chittagong,12-Feb-14,36
Tamim Iqbal,2,4,4,0,0,50,1,v Sri Lanka,Chittagong,14-Feb-14,1
Tamim Iqbal,21,-,27,2,0,77.77,2,v Afghanistan,Dhaka,16-Mar-14,16.33333333
Tamim Iqbal,30,32,22,2,1,136.36,2,v Nepal,Chittagong,18-Mar-14,40.90909091
Tamim Iqbal,0,2,2,0,0,0,1,v Hong Kong,Chittagong,20-Mar-14,0
Tamim Iqbal,5,10,10,1,0,50,2,v West Indies,Dhaka,25-Mar-14,2.5
Tamim Iqbal,6,14,10,1,0,60,1,v India,Dhaka,28-Mar-14,3.6
Tamim Iqbal,16,17,15,2,0,106.66,2,v Pakistan,Dhaka,30-Mar-14,17.06666667
Tamim Iqbal,5,16,11,0,0,45.45,1,v Australia,Dhaka,1-Apr-14,2.272727273
Tamim Iqbal,11*,20,9,1,0,122.22,1,v West Indies,Basseterre,27-Aug-14,13.44444444
Tamim Iqbal,14,11,10,2,1,140,2,v Pakistan,Dhaka,24-Apr-15,19.6
Tamim Iqbal,5,4,4,1,0,125,2,v South Africa,Dhaka,5-Jul-15,6.25
Tamim Iqbal,13,25,18,1,0,72.22,2,v South Africa,Dhaka,7-Jul-15,9.388888889
Tamim Iqbal,31,53,28,3,0,110.71,2,v Zimbabwe,Dhaka,13-Nov-15,34.32142857
Tamim Iqbal,21,19,15,1,2,140,1,v Zimbabwe,Dhaka,15-Nov-15,29.4
Tamim Iqbal,29,-,24,3,1,120.83,2,v Zimbabwe,Khulna,15-Jan-16,35.04166667
Tamim Iqbal,23,26,17,3,1,135.29,1,v Zimbabwe,Khulna,17-Jan-16,31.11764706
Tamim Iqbal,1,12,2,0,0,50,2,v Zimbabwe,Khulna,22-Jan-16,0.5
Tamim Iqbal,7,7,4,0,1,175,2,v Pakistan,Dhaka,2-Mar-16,12.25
Tamim Iqbal,13,22,17,2,0,76.47,1,v India,Dhaka,6-Mar-16,9.941176471
Tamim Iqbal,83*,91,58,6,3,143.1,1,v Netherlands,Dharamsala,9-Mar-16,118.7758621
Tamim Iqbal,47,34,26,3,4,180.76,1,v Ireland,Dharamsala,11-Mar-16,84.96153846
Tamim Iqbal,103*,91,63,10,5,163.49,1,v Oman,Dharamsala,13-Mar-16,168.3968254
Tamim Iqbal,24,40,20,0,2,120,2,v Pakistan,Kolkata,16-Mar-16,28.8
Tamim Iqbal,35,32,32,5,0,109.37,2,v India,Bangalore,23-Mar-16,38.28125
Tamim Iqbal,3,8,8,0,0,37.5,2,v New Zealand,Kolkata,26-Mar-16,1.125
Taskin Ahmed,DNB,-,-,-,-,-,1,v Australia,Dhaka,1-Apr-14,0
Taskin Ahmed,DNB,-,-,-,-,-,1,v West Indies,Basseterre,27-Aug-14,0
Taskin Ahmed,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,24-Apr-15,0
Taskin Ahmed,1*,2,1,0,0,100,2,v Zimbabwe,Khulna,22-Jan-16,1
Taskin Ahmed,15*,13,15,1,1,100,2,v India,Dhaka,24-Feb-16,15
Taskin Ahmed,1,7,2,0,0,50,1,v U.A.E.,Dhaka,26-Feb-16,0.5
Taskin Ahmed,DNB,-,-,-,-,-,1,v Sri Lanka,Dhaka,28-Feb-16,0
Taskin Ahmed,DNB,-,-,-,-,-,2,v Pakistan,Dhaka,2-Mar-16,0
Taskin Ahmed,DNB,-,-,-,-,-,1,v India,Dhaka,6-Mar-16,0
Taskin Ahmed,DNB,-,-,-,-,-,1,v Netherlands,Dharamsala,9-Mar-16,0
Taskin Ahmed,DNB,-,-,-,-,-,1,v Ireland,Dharamsala,11-Mar-16,0
Taskin Ahmed,DNB,-,-,-,-,-,1,v Oman,Dharamsala,13-Mar-16,0
Taskin Ahmed,DNB,-,-,-,-,-,2,v Pakistan,Kolkata,16-Mar-16,0
Ziaur Rahman,40*,25,17,0,5,235.29,1,v Ireland,Belfast,18-Jul-12,94.11764706
Ziaur Rahman,14,10,7,1,1,200,1,v Ireland,Belfast,20-Jul-12,28
Ziaur Rahman,0,1,1,0,0,0,2,v Ireland,Belfast,21-Jul-12,0
Ziaur Rahman,9,7,8,0,1,112.5,2,v Scotland,The Hague,24-Jul-12,10.125
Ziaur Rahman,DNB,-,-,-,-,-,2,v Netherlands,The Hague,25-Jul-12,Nan
Ziaur Rahman,22,20,17,2,1,129.41,1,v Netherlands,The Hague,26-Jul-12,28.47058824
Ziaur Rahman,14*,29,16,0,1,87.5,2,v New Zealand,Pallekele,21-Sep-12,12.25
Ziaur Rahman,1*,2,1,0,0,100,1,v Pakistan,Pallekele,25-Sep-12,1
Ziaur Rahman,DNB,-,-,-,-,-,2,v West Indies,Dhaka,10-Dec-12,Nan
Ziaur Rahman,2,8,7,0,0,28.57,2,v Zimbabwe,Bulawayo,11-May-13,0.571428571
Ziaur Rahman,6,5,2,0,1,300,2,v New Zealand,Dhaka,6-Nov-13,18
Ziaur Rahman,9,17,13,0,0,69.23,2,v West Indies,Dhaka,25-Mar-14,6.230769231
Ziaur Rahman,0,1,1,0,0,0,1,v India,Dhaka,28-Mar-14,0
Ziaur Rahman,0,5,1,0,0,0,2,v Pakistan,Dhaka,30-Mar-14,0
