Player,BattingFitness,PlayerID,Over
Mushfiqur Rahim,82.9,29,0
"Dhiman Ghosh	",1.9,66,0
"Liton Das	",61.1,41,0
"Jahurul Islam	",69.68,8,0
"Anamul Haque	",76.9,25,0
Nurul Hasan,71.24,38,0
