Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Batting Points,4s Points,6s Points,Single Points,Total Points
Mushfiqur Rahim,2012-2015,34,31,8,831,86,36.13,659,126.1,0,5,4,63,24,45.6,5.74,8.19,57.83,117.3
Shakib Al Hasan,2012-2015,34,34,9,745,86,29.8,531,140.3,0,3,2,73,22,41.8,8.25,9.32,54.2,113.6
Shamsur Rahman,2012-2015,17,17,2,475,98,31.66,381,124.67,0,6,0,42,15,39.5,6.61,8.86,44.86,99.8
Nazmul Hossain Milon,2012-2015,32,27,9,371,45,20.61,307,120.84,0,0,2,21,15,24.9,4.1,10.99,52.84,92.8
Nasir Hossain,2012-2015,34,30,4,689,80,26.5,570,120.87,0,2,0,51,27,32,5.37,10.66,43.1,91.2
Mohammad Ashraful,2012-2013,26,24,3,616,103,29.33,523,117.78,1,2,1,62,14,34.5,7.11,6.02,40.37,88.1
Jahurul Islam,2012-2015,32,32,6,613,62,23.57,536,114.36,0,3,2,45,19,27,5.04,7.98,45.68,85.7
Tamim Iqbal,2012-2015,21,20,1,550,69,28.94,464,118.53,0,6,1,51,19,34.3,6.59,9.21,34.67,84.8
Sabbir Rahman,2012-2015,36,29,3,533,79,20.5,432,123.37,0,2,4,41,22,25.3,5.69,11.46,41.25,83.7
Junaid Siddique,2012-2015,22,22,3,441,89,23.21,335,131.64,0,2,3,48,15,30.6,8.6,10.07,34.17,83.4
Anamul Haque,2012-2015,36,32,4,674,83,24.07,563,119.71,0,3,4,58,27,28.8,6.18,10.79,34.31,80.1
Alok Kapali,2012-2015,31,24,8,355,56,22.18,313,113.41,0,1,0,30,10,25.2,5.75,7.19,41.09,79.2
Mahmudullah,2012-2015,37,33,5,692,56,24.71,636,108.8,0,3,1,56,19,26.9,5.28,6.72,39.82,78.7
Shahriar Nafees,2012-2015,22,20,3,537,102,31.58,486,110.49,1,3,0,65,7,34.9,8.02,3.24,32.22,78.4
Ziaur Rahman,2012-2015,30,24,6,367,48,20.38,291,126.11,0,0,3,28,21,25.7,5.77,16.24,28.42,76.1
Naeem Islam,2012-2015,25,22,4,476,72,26.44,444,107.2,0,3,2,47,9,28.4,6.35,4.56,36.37,75.6
Nurul Hasan,2013-2015,17,15,4,220,43,20,186,118.27,0,0,2,24,5,23.7,7.74,6.05,35.85,73.3
Imrul Kayes,2012-2015,28,28,1,593,67,21.96,533,111.25,0,3,5,54,22,24.4,6.08,9.29,28.74,68.5
Mohammad Mithun,2012-2015,28,21,2,300,60,15.78,282,106.38,0,2,4,18,12,16.8,3.83,9.57,38.32,68.5
Mominul Haque,2012-2015,33,25,3,352,53,16,341,103.22,0,1,2,33,9,16.5,5.81,5.94,30.82,59.1
Soumya Sarkar,2012-2015,19,18,3,221,58,14.73,204,108.33,0,1,2,31,4,16,9.12,4.41,18.66,48.1
