Partners,Span,Inns,NO,RunsDescending,High,Ave,Overs,RR,100,50
"Imrul Kayes, Mohammad Ashraful",2010-2011,2,0,30,26,15,5.3,5.45,0,0
"Alok Kapali, Nazimuddin",2007-2007,1,0,29,29,29,3.2,8.7,0,0
"Mahmudullah, Raqibul Hasan",2009-2010,4,0,29,18,7.25,7.2,3.95,0,0
"Nadif Chowdhury, Shakib Al Hasan",2006-2007,2,0,29,20,14.5,4.1,6.96,0,0
"Nurul Hasan, Shakib Al Hasan",2016-2016,1,1,29,29*,-,1.5,15.81,0,0
"Mashrafe Mortaza, Naeem Islam",2009-2010,2,0,28,23,14,3.4,7.63,0,0
"Mashrafe Mortaza, Mohammad Rafique",2006-2006,1,0,27,27,27,2.1,12.46,0,0
"Farhad Reza, Mashrafe Mortaza",2007-2007,1,0,26,26,26,3.4,7.09,0,0
"Junaid Siddique, Nadif Chowdhury",2007-2007,1,0,26,26,26,2.5,9.17,0,0
"Mahmudullah, Mehrab Hossain jnr",2009-2009,1,0,26,26,26,4.4,5.57,0,0
"Abdur Razzak, Mominul Haque",2013-2013,1,1,25,25*,-,2.4,9.37,0,0
"Anamul Haque, Farhad Reza",2014-2014,1,0,24,24,24,2.1,11.07,0,0
"Mahmudullah, Nazimuddin",2007-2008,2,0,24,22,12,3.5,6.26,0,0
"Mashrafe Mortaza, Sohag Gazi",2014-2014,1,0,24,24,24,4.2,5.53,0,0
"Mashrafe Mortaza, Nasir Hossain",2012-2012,1,1,23,23*,-,1.5,12.54,0,0
"Mosaddek Hossain, Sabbir Rahman",2016-2016,1,0,23,23,23,3.2,6.9,0,0
"Mashrafe Mortaza, Rony Talukdar",2015-2015,1,0,22,22,22,2.4,8.25,0,0
"Farhad Reza, Sabbir Rahman",2014-2014,1,0,21,21,21,4.2,4.84,0,0
"Junaid Siddique, Shakib Al Hasan",2007-2009,2,0,21,19,10.5,3.2,6.3,0,0
"Liton Das, Rony Talukdar",2015-2015,1,0,21,21,21,2.2,9,0,0
"Mashrafe Mortaza, Sabbir Rahman",2014-2016,2,0,21,21,10.5,2.5,7.41,0,0
"Mushfiqur Rahim, Taskin Ahmed",2016-2016,1,1,21,21*,-,3.2,6.3,0,0
"Abdur Razzak, Nasir Hossain",2011-2014,3,0,20,17,6.66,3.1,6.31,0,0
"Abdur Razzak, Sohag Gazi",2013-2013,2,1,19,16*,19,2.5,6.7,0,0
"Alok Kapali, Shakib Al Hasan",2007-2007,1,0,19,19,19,3,6.33,0,0
"Arafat Sunny, Sabbir Rahman",2014-2014,1,0,19,19,19,2,9.5,0,0
"Jahurul Islam, Shafiul Islam",2010-2010,1,0,19,19,19,2.4,7.12,0,0
"Mahmudullah, Taskin Ahmed",2016-2016,1,0,19,19,19,1.4,11.4,0,0
"Mominul Haque, Sohag Gazi",2013-2013,1,0,19,19,19,2.3,7.6,0,0
"Abu Hider, Arafat Sunny",2016-2016,1,0,18,18,18,1.2,13.5,0,0
"Alok Kapali, Farhad Reza",2007-2007,1,0,18,18,18,4.5,3.72,0,0
"Jahurul Islam, Mohammad Ashraful",2013-2013,1,0,18,18,18,2,9,0,0
"Farhad Reza, Nasir Hossain",2011-2014,2,0,17,12,8.5,2.5,6,0,0
"Mohammad Ashraful, Naeem Islam",2010-2010,1,0,17,17,17,1.5,9.27,0,0
