Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
Ziaur Rahman,DNB,-,-,-,-,-,2,v Netherlands,The Hague,25-Jul-12
Ziaur Rahman,22,20,17,2,1,129.41,1,v Netherlands,The Hague,26-Jul-12
Ziaur Rahman,14*,29,16,0,1,87.5,2,v New Zealand,Pallekele,21-Sep-12
Ziaur Rahman,1*,2,1,0,0,100,1,v Pakistan,Pallekele,25-Sep-12
Ziaur Rahman,DNB,-,-,-,-,-,2,v West Indies,Dhaka,10-Dec-12
Ziaur Rahman,2,8,7,0,0,28.57,2,v Zimbabwe,Bulawayo,11-May-13
Ziaur Rahman,6,5,2,0,1,300,2,v New Zealand,Dhaka,6-Nov-13
Ziaur Rahman,9,17,13,0,0,69.23,2,v West Indies,Dhaka,25-Mar-14
Ziaur Rahman,0,1,1,0,0,0,1,v India,Dhaka,28-Mar-14
Ziaur Rahman,0,5,1,0,0,0,2,v Pakistan,Dhaka,30-Mar-14
